baker,series,baker_age,baker_occupation,hometown
Glenn Cosby,4,37,English Teacher,"Teignmouth, Devon"
Howard Middleton,4,51,Council Worker,Sheffield
Kimberley Wilson,4,30,Psychologist,London
Lucy Bellamy,4,38,Horticulturist,"Grimsby, Lincolnshire"
Mark Onley,4,37,Carpenter and Kitchen Fitter,Milton Keynes
Robert Smart,4,54,Space Satellite Designer,"Melbourn, Cambridgeshire"
Ruby Tandoh,4,20,History of Art and Philosophy Student,"Southend, Essex"
Toby Waterworth,4,30,Web Programmer,"Reading, Berkshire"
Chetna Makan,5,35,Fashion Designer,"Broadstairs, Kent"
Claire Goodwin,5,31,Speech Therapist,"Ashton upon Mersey, Trafford"
Diana Beard,5,69,Women's Institute (WI) Judge,"Alkington, Shropshire"
Enwezor Nzegwu,5,39,Business Consultant,"Portsmouth, Hampshire"
Iain Watters,5,31,Construction Engineer,London/Belfast
Jordan Cox,5,32,IT Manager,"Sneinton, Nottingham"
Kate Henry,5,41,Furniture Restorer,"Brighton, East Sussex"
Luis Troyano,5,42,Graphic Designer,"Poynton, Cheshire"
Martha Collison,5,17,Student,"Ascot, Berkshire"
Nancy Birtwhistle,5,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
Norman Calder,5,66,Retired Naval Officer,"Portknockie, Moray"
Richard Burr,5,38,Builder,"Mill Hill, London"
Alvin Magallanes,6,37,Nurse,"Bracknell, Berkshire"
Dorret Conway,6,53,Accountant,"Penwortham, Lancashire"
Flora Shedden,6,19,Art gallery assistant,"Dunkeld, Perth and Kinross"
Ian Cumming,6,41,Travel photographer,"Great Wilbraham, Cambridgeshire"
Marie Campbell,6,66,Retired,"Auchterarder, Perthshire"
Mat Riley,6,37,Fire fighter,London
Nadiya Hussain,6,30,Full-time mother,Leeds / Luton
Paul Jagger,6,49,Prison governor,"Swansea, Wales"
Sandy Docherty,6,49,Child welfare officer,"Yeadon, West Yorkshire"
Stu Henshall,6,35,Professional musician,"Guildford, Surrey"
Tamal Ray,6,29,Trainee anaesthetist,Manchester
Ugnė Bubnaityte,6,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania"
Andrew Smyth,7,25,Aerospace engineer,"Derby / Holywood, County Down"
Benjamina Ebuehi,7,23,Teaching assistant,South London
Candice Brown,7,31,PE teacher,"Barton-Le-Clay, Bedfordshire"
Jane Beedle,7,61,Garden designer,Beckenham
Kate Barmby,7,37,Nurse,"Brooke, Norfolk"
Lee Banfield,7,67,Pastor,Bolton
Louise Williams,7,46,Hairdresser,Cardiff
Michael Georgiou,7,20,Student,Durham
Rav Bansal,7,28,Student support,Erith
Selasi Gbormittah,7,30,Client service associate,London
Tom Gilliford,7,26,Project engagement manager,Rochdale
Val Stones,7,66,"Semi-retired, Substitute teacher",Yeovil
Chris Geiger,8,50,Software developer,Bristol
Yan Tsou,8,46,Laboratory research scientist,North London
Flo Atkins,8,71,Retired,Merseyside
James Hillery,8,46,Banker,"Brentwood, Essex"
Julia Chernogorova,8,21,Aviation Broker,"Crawley, West Sussex"
Kate Lyon,8,29,Health and safety inspector,Merseyside
Liam Charles,8,19,Student,North London
Peter Abatan,8,52,IT programme manager,"Southend, Essex"
Sophie Faldo,8,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
Stacey Hart,8,42,Former school teacher,"Radlett, Hertfordshire"
Steven Carter-Bailey,8,34,Marketer,"Watford, Hertfordshire"
Tom Hetherington,8,29,Architect,Edinburgh
Antony Amourdoux,9,30,Banker,London
Briony Williams,9,33,Full-time parent,Bristol
Dan Beasley-Harling,9,36,Full-time parent,London
Imelda McCarron,9,33,Countryside recreation officer,County Tyrone
Jon Jenkins,9,47,Blood courier,Newport
Karen Wright,9,60,In-store sampling assistant,Wakefield
Kim-Joy Hewlett,9,27,Mental health specialist,Leeds
Luke Thompson,9,30,Civil servant/house and techno DJ,Sheffield
Manon Lagrave,9,26,Software project manager,London
Rahul Mandal,9,30,Research scientist,Rotherham
Ruby Bhogal,9,29,Project manager,London
Terry Hartill,9,56,Retired air steward,West Midlands
Alice Fevronia,10,28,Geography teacher,Essex
Amelia LeBruin,10,24,Fashion designer,Halifax
Dan Chambers,10,32,Support worker,Rotherham
David Atherton,10,36,International health adviser,Whitby
Helena Garcia,10,40,Online project manager,Leeds
Henry Bird,10,20,Student,Durham
Jamie Finn,10,20,Part-time waiter,Surrey
Michael Chakraverty,10,26,Theatre manager/fitness instructor,Stratford-upon-Avon
Michelle Evans-Fecci,10,35,Print shop administrator,"Tenby, Wales"
Phil Thorne,10,56,HGV driver,Rainham
Priya O'Shea,10,34,Marketing consultant,Leicester
Rosie Brandreth-Poynter,10,28,Veterinary surgeon,Somerset
Steph Blackwell,10,28,Shop assistant,Chester
